Crop,Disease,Farmer_Symptoms,Technical_Symptoms,Treatment,Prevention,RecoveryTime,processed_symptoms
Avocado,Leaf Spot,"Small spots on leaves, often brown or black on avocado, visible to the farmer.","Leaf Spot affecting Avocado. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Avocado as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Avocado,Powdery Mildew,"White powdery coating on leaf surfaces on avocado, visible to the farmer.","Powdery Mildew affecting Avocado. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Avocado as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Avocado,Rust,"Orange/brown pustules on leaves and stems on avocado, visible to the farmer.","Rust affecting Avocado. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Avocado as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Avocado,Root Rot,"Wilting and root decay, stunted growth on avocado, visible to the farmer.","Root Rot affecting Avocado. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Avocado as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Avocado,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on avocado, visible to the farmer.","Bacterial Blight affecting Avocado. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Avocado as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive,Leaf Spot,"Small spots on leaves, often brown or black on olive, visible to the farmer.","Leaf Spot affecting Olive. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Olive as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive,Powdery Mildew,"White powdery coating on leaf surfaces on olive, visible to the farmer.","Powdery Mildew affecting Olive. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Olive as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive,Rust,"Orange/brown pustules on leaves and stems on olive, visible to the farmer.","Rust affecting Olive. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Olive as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive,Root Rot,"Wilting and root decay, stunted growth on olive, visible to the farmer.","Root Rot affecting Olive. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Olive as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on olive, visible to the farmer.","Bacterial Blight affecting Olive. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Olive as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive (table),Leaf Spot,"Small spots on leaves, often brown or black on olive (table), visible to the farmer.","Leaf Spot affecting Olive (table). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Olive (table) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive (table),Powdery Mildew,"White powdery coating on leaf surfaces on olive (table), visible to the farmer.","Powdery Mildew affecting Olive (table). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Olive (table) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive (table),Rust,"Orange/brown pustules on leaves and stems on olive (table), visible to the farmer.","Rust affecting Olive (table). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Olive (table) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive (table),Root Rot,"Wilting and root decay, stunted growth on olive (table), visible to the farmer.","Root Rot affecting Olive (table). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Olive (table) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive (table),Bacterial Blight,"Water-soaked lesions, yellowing and wilting on olive (table), visible to the farmer.","Bacterial Blight affecting Olive (table). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Olive (table) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive (oil),Leaf Spot,"Small spots on leaves, often brown or black on olive (oil), visible to the farmer.","Leaf Spot affecting Olive (oil). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Olive (oil) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive (oil),Powdery Mildew,"White powdery coating on leaf surfaces on olive (oil), visible to the farmer.","Powdery Mildew affecting Olive (oil). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Olive (oil) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive (oil),Rust,"Orange/brown pustules on leaves and stems on olive (oil), visible to the farmer.","Rust affecting Olive (oil). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Olive (oil) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive (oil),Root Rot,"Wilting and root decay, stunted growth on olive (oil), visible to the farmer.","Root Rot affecting Olive (oil). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Olive (oil) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Olive (oil),Bacterial Blight,"Water-soaked lesions, yellowing and wilting on olive (oil), visible to the farmer.","Bacterial Blight affecting Olive (oil). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Olive (oil) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Hazelnut,Leaf Spot,"Small spots on leaves, often brown or black on hazelnut, visible to the farmer.","Leaf Spot affecting Hazelnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Hazelnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Hazelnut,Powdery Mildew,"White powdery coating on leaf surfaces on hazelnut, visible to the farmer.","Powdery Mildew affecting Hazelnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Hazelnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Hazelnut,Rust,"Orange/brown pustules on leaves and stems on hazelnut, visible to the farmer.","Rust affecting Hazelnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Hazelnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Hazelnut,Root Rot,"Wilting and root decay, stunted growth on hazelnut, visible to the farmer.","Root Rot affecting Hazelnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Hazelnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Hazelnut,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on hazelnut, visible to the farmer.","Bacterial Blight affecting Hazelnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Hazelnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Walnut,Leaf Spot,"Small spots on leaves, often brown or black on walnut, visible to the farmer.","Leaf Spot affecting Walnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Walnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Walnut,Powdery Mildew,"White powdery coating on leaf surfaces on walnut, visible to the farmer.","Powdery Mildew affecting Walnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Walnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Walnut,Rust,"Orange/brown pustules on leaves and stems on walnut, visible to the farmer.","Rust affecting Walnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Walnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Walnut,Root Rot,"Wilting and root decay, stunted growth on walnut, visible to the farmer.","Root Rot affecting Walnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Walnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Walnut,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on walnut, visible to the farmer.","Bacterial Blight affecting Walnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Walnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Pistachio,Leaf Spot,"Small spots on leaves, often brown or black on pistachio, visible to the farmer.","Leaf Spot affecting Pistachio. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Pistachio as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Pistachio,Powdery Mildew,"White powdery coating on leaf surfaces on pistachio, visible to the farmer.","Powdery Mildew affecting Pistachio. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Pistachio as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Pistachio,Rust,"Orange/brown pustules on leaves and stems on pistachio, visible to the farmer.","Rust affecting Pistachio. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Pistachio as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Pistachio,Root Rot,"Wilting and root decay, stunted growth on pistachio, visible to the farmer.","Root Rot affecting Pistachio. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Pistachio as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Pistachio,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on pistachio, visible to the farmer.","Bacterial Blight affecting Pistachio. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Pistachio as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Chestnut,Leaf Spot,"Small spots on leaves, often brown or black on chestnut, visible to the farmer.","Leaf Spot affecting Chestnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Chestnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Chestnut,Powdery Mildew,"White powdery coating on leaf surfaces on chestnut, visible to the farmer.","Powdery Mildew affecting Chestnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Chestnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Chestnut,Rust,"Orange/brown pustules on leaves and stems on chestnut, visible to the farmer.","Rust affecting Chestnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Chestnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Chestnut,Root Rot,"Wilting and root decay, stunted growth on chestnut, visible to the farmer.","Root Rot affecting Chestnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Chestnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Chestnut,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on chestnut, visible to the farmer.","Bacterial Blight affecting Chestnut. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Chestnut as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Macadamia,Leaf Spot,"Small spots on leaves, often brown or black on macadamia, visible to the farmer.","Leaf Spot affecting Macadamia. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Macadamia as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Macadamia,Powdery Mildew,"White powdery coating on leaf surfaces on macadamia, visible to the farmer.","Powdery Mildew affecting Macadamia. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Macadamia as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Macadamia,Rust,"Orange/brown pustules on leaves and stems on macadamia, visible to the farmer.","Rust affecting Macadamia. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Macadamia as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Macadamia,Root Rot,"Wilting and root decay, stunted growth on macadamia, visible to the farmer.","Root Rot affecting Macadamia. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Macadamia as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Macadamia,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on macadamia, visible to the farmer.","Bacterial Blight affecting Macadamia. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Macadamia as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cashew (native variants),Leaf Spot,"Small spots on leaves, often brown or black on cashew (native variants), visible to the farmer.","Leaf Spot affecting Cashew (native variants). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Cashew (native variants) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cashew (native variants),Powdery Mildew,"White powdery coating on leaf surfaces on cashew (native variants), visible to the farmer.","Powdery Mildew affecting Cashew (native variants). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Cashew (native variants) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cashew (native variants),Rust,"Orange/brown pustules on leaves and stems on cashew (native variants), visible to the farmer.","Rust affecting Cashew (native variants). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Cashew (native variants) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cashew (native variants),Root Rot,"Wilting and root decay, stunted growth on cashew (native variants), visible to the farmer.","Root Rot affecting Cashew (native variants). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Cashew (native variants) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cashew (native variants),Bacterial Blight,"Water-soaked lesions, yellowing and wilting on cashew (native variants), visible to the farmer.","Bacterial Blight affecting Cashew (native variants). Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Cashew (native variants) as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cranberry,Leaf Spot,"Small spots on leaves, often brown or black on cranberry, visible to the farmer.","Leaf Spot affecting Cranberry. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Cranberry as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cranberry,Powdery Mildew,"White powdery coating on leaf surfaces on cranberry, visible to the farmer.","Powdery Mildew affecting Cranberry. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Cranberry as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cranberry,Rust,"Orange/brown pustules on leaves and stems on cranberry, visible to the farmer.","Rust affecting Cranberry. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Cranberry as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cranberry,Root Rot,"Wilting and root decay, stunted growth on cranberry, visible to the farmer.","Root Rot affecting Cranberry. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Cranberry as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Cranberry,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on cranberry, visible to the farmer.","Bacterial Blight affecting Cranberry. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Cranberry as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Gooseberry,Leaf Spot,"Small spots on leaves, often brown or black on gooseberry, visible to the farmer.","Leaf Spot affecting Gooseberry. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Gooseberry as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Gooseberry,Powdery Mildew,"White powdery coating on leaf surfaces on gooseberry, visible to the farmer.","Powdery Mildew affecting Gooseberry. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Gooseberry as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Gooseberry,Rust,"Orange/brown pustules on leaves and stems on gooseberry, visible to the farmer.","Rust affecting Gooseberry. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Gooseberry as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Gooseberry,Root Rot,"Wilting and root decay, stunted growth on gooseberry, visible to the farmer.","Root Rot affecting Gooseberry. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Gooseberry as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Gooseberry,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on gooseberry, visible to the farmer.","Bacterial Blight affecting Gooseberry. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Gooseberry as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Blackcurrant,Leaf Spot,"Small spots on leaves, often brown or black on blackcurrant, visible to the farmer.","Leaf Spot affecting Blackcurrant. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Blackcurrant as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Blackcurrant,Powdery Mildew,"White powdery coating on leaf surfaces on blackcurrant, visible to the farmer.","Powdery Mildew affecting Blackcurrant. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Blackcurrant as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Blackcurrant,Rust,"Orange/brown pustules on leaves and stems on blackcurrant, visible to the farmer.","Rust affecting Blackcurrant. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Blackcurrant as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
